ACCIDENT_ID,LOCATE_ID_DISTRICT,LOCATE_ID_POLICE,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_TYPE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,LOCATE_AREATYPE,HEALTH_DEADPLACE,HEALTH_EMSSEND
146059,100473,0,1,12,2000,1,0,4,1,1,90,2,973997,1779722,16.05166887,103.4276059,1,42,2,0,1051,1051,0,0,20
146060,100732,0,12,11,59000,1,0,1,1,1,1,1,620356,1782614,16.12069205,100.1255275,1,18,2,0,1072,1072,1,0,50
146061,100591,0,12,11,3000,1,0,2,1,2,1,1,509830,1942532,17.56924562,99.09263386,1,16,2,0,1059,1059,0,0,20
146062,100699,0,12,11,5000,1,0,3,1,1,1,1,453108,1867875,16.8939439,98.55971524,1,32,2,0,1069,1069,0,0,20
146063,100479,0,1,12,50000,1,0,4,1,2,2,3,1045307,1786062,16.09397224,104.0933947,1,19,2,0,1052,1052,0,0,50
146064,100847,0,12,11,59000,1,0,3,1,3,90,1,0,0,0,94.5112561,1,19,2,0,1085,1085,0,0,20
146065,100632,0,12,11,0,1,0,1,1,2,1,90,587519,2118720,19.15982021,99.83231003,1,73,2,0,1063,1063,0,0,40
146066,100298,0,12,11,265000,1,0,4,1,1,1,1,0,0,0,94.5112561,1,54,2,0,1040,1040,1,0,20
146067,100847,0,12,11,70000,1,0,1,1,1,1,2,0,0,0,94.5112561,2,58,3,0,1085,1085,0,0,50
146068,100750,0,12,11,20000,1,0,3,1,1,1,2,595416,1529248,13.83132884,99.88288561,1,41,2,0,1074,1074,0,0,20
146069,100576,0,12,11,0,1,0,2,1,1,2,2,0,0,0,94.5112561,1,20,2,0,1058,1057,2,0,20
146070,100811,0,12,11,59000,1,0,4,2,2,3,1,0,0,0,94.5112561,1,2,1,0,1082,1082,0,0,40
146071,100533,0,12,11,5000,0,1,1,1,1,1,3,1079278,1959359,17.64565409,104.4543951,1,40,2,1,1055,1055,0,30,50
146072,100642,0,12,11,0,1,0,2,1,2,1,1,614058,2241011,20.2634442,100.092144,1,69,2,0,1064,1064,0,0,40
146073,100907,0,12,11,0,1,0,4,90,2,1,1,0,0,0,94.5112561,2,18,9,0,1091,1091,0,0,90
146074,100919,0,12,11,5000,2,0,3,1,1,1,1,593589,868766,7.858647735,99.84895127,2,13,2,0,1082,1082,2,0,90
146075,100919,0,12,11,5000,2,0,3,1,1,1,1,593589,868766,7.858647735,99.84895127,1,26,2,0,1092,1092,0,0,50
146076,100846,0,12,11,100000,1,0,1,1,1,90,2,418323,932017,8.430940179,98.25804391,2,52,3,0,1084,1084,0,0,40
146077,100258,0,12,11,500,1,0,4,1,5,1,1,886834,1731015,15.62749682,102.6068936,1,37,2,0,1038,1038,0,0,50
146078,100746,0,12,11,0,1,0,2,1,3,1,2,590634,1498470,13.55321252,99.83765559,1,17,2,0,1074,1074,0,0,40
146079,100792,0,12,11,0,1,0,4,1,1,1,1,608335,1436187,12.9895013,99.9989314,1,19,2,0,1080,1080,0,0,20
146080,100834,0,12,11,0,1,0,2,1,1,1,1,0,0,0,94.5112561,2,9,1,0,1083,1083,0,0,20
146081,100476,0,12,11,0,1,0,4,1,1,1,1,0,0,0,94.5112561,1,20,2,0,1052,1052,0,0,50
146082,100269,0,1,12,2500,1,0,3,1,3,90,1,0,0,0,94.5112561,1,57,2,0,1039,1039,0,0,40
146083,100721,0,1,12,59000,1,0,4,1,2,1,90,663803,1863713,16.8510339,100.5375124,1,15,2,0,1071,1071,0,0,40
146084,100892,0,12,11,140000,1,1,1,1,1,1,2,657786,771119,6.97404979,100.4283374,2,13,2,0,1089,1089,0,0,60
146085,100892,0,12,11,140000,1,1,1,1,1,1,2,657786,771119,6.97404979,100.4283374,1,13,3,1,1089,1089,0,20,40
146086,100639,0,12,11,0,1,0,2,3,1,1,3,649331,222661,2.013919189,100.3427004,1,22,2,0,1064,1057,0,0,90
146087,100106,0,4,11,0,1,0,1,1,1,90,1,667324,1595905,14.4305159,100.5521946,1,23,2,0,1066,1066,2,0,40
146088,100183,0,12,11,59000,1,0,4,3,2,1,2,865628,1423070,12.85117529,102.3679083,1,16,2,0,1032,1032,0,0,20
146089,100646,0,1,12,0,0,1,1,1,1,2,2,614858,2181111,19.72219817,100.0960519,2,19,2,1,1064,1064,0,10,50
146090,100527,0,1,12,4000000,0,1,1,1,3,90,3,1037207,1910537,17.21663416,104.0473002,1,64,1,1,1054,1054,0,30,60
146091,100208,0,1,12,150000,2,0,4,1,1,1,3,764942,1557352,14.07455629,101.4535036,1,15,3,0,1035,1035,0,0,50
146092,100208,0,1,12,150000,2,0,4,1,1,1,3,764942,1557352,14.07455629,101.4535036,1,17,3,0,1035,1035,0,0,50
146093,100134,0,4,11,0,1,0,1,1,1,1,2,648258,1653734,14.9543206,100.37864,2,26,3,0,1069,1069,2,0,40
146094,100816,0,4,11,59000,1,0,4,1,3,1,1,570927,888590,8.038320875,99.64367259,2,63,3,0,1082,1082,1,0,40
146095,100799,0,4,11,0,1,0,4,1,1,1,1,0,0,0,94.5112561,1,69,2,0,1080,1080,0,0,30
146096,100775,0,4,11,30000,1,0,1,1,1,1,2,596677,1579097,14.28196358,99.89630518,1,35,2,0,1077,1077,0,0,50
146097,100869,0,12,11,0,1,0,3,1,1,1,1,459652,1100267,9.953258535,98.63190111,1,85,2,0,1087,1087,0,0,40
146098,100182,0,12,11,59000,1,0,4,1,1,1,1,0,0,0,94.5112561,1,36,2,0,1032,1032,0,0,90
146099,100714,0,12,11,4000000,0,1,1,1,1,1,1,627592,1854753,16.77232072,100.1971765,1,50,2,1,1071,1071,0,30,60
146100,100476,0,12,11,0,1,0,4,1,3,1,1,0,0,0,94.5112561,1,43,2,0,1052,1052,0,0,90
146101,100596,0,4,11,20000,1,0,3,90,2,1,1,0,0,0,94.5112561,1,3,3,0,1070,1070,0,0,40
146102,100611,0,1,12,0,1,0,4,1,3,2,3,547167,1965014,17.77197552,99.44497707,1,27,2,0,1061,1061,0,0,20
146103,100709,0,4,11,50000,1,0,1,2,1,1,1,581726,1964285,17.76437509,99.77096402,1,11,1,0,1070,1070,0,0,50
146104,100869,0,4,11,50000,2,0,1,1,1,1,1,459374,1095831,9.913134685,98.62941008,1,17,2,0,1087,1087,0,0,20
146105,100869,0,4,11,50000,2,0,1,1,1,1,1,459374,1095831,9.913134685,98.62941008,1,17,2,0,1087,1087,0,0,20
146106,100225,0,4,11,0,1,0,1,1,1,90,2,833949,1511352,13.6518893,102.086457,1,21,2,0,1037,1037,0,0,40
146107,100411,0,4,11,59000,1,0,3,1,1,1,2,903898,1930373,17.42306425,102.8008229,2,20,2,0,1048,1048,0,0,40
146108,100917,0,4,11,59000,1,0,2,1,1,1,1,608158,825408,7.466214417,99.98019804,1,53,2,0,1092,1092,0,0,90
