,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
37,0.505,0.104,91.97,0.253,0.535,2.55e-06,4,0.752,9,197437,-7.621,0.419,1,audio_features,spotify:track:1wjzFQodRWrPcQ0AnYnvQ9
38,0.876,0.327,99.943,0.1,0.0735,0.0,4,0.624,9,170827,-3.374,0.781,1,audio_features,spotify:track:0afhq8XCExXpqazXczTSve
39,0.56,0.0944,134.066,0.0406,0.013,0.0,4,0.853,1,206693,-4.961,0.86,1,audio_features,spotify:track:0KKkJNfGyhkQ5aFogxQAPU
40,0.61,0.0641,123.038,0.0574,0.0204,4.45e-06,4,0.708,2,186113,-4.522,0.305,1,audio_features,spotify:track:0XLOf9LhyazPX9Ld8jPiUq
41,0.794,0.112,139.994,0.0522,0.0323,2.59e-05,4,0.731,0,220454,-5.126,0.356,0,audio_features,spotify:track:3HVr6jTVwBHBa2flM0eURR
42,0.426,0.0546,85.908,0.0509,0.0142,0.0,4,0.728,0,188174,-6.69,0.844,1,audio_features,spotify:track:167NczpNbRF7oWakJaY3Hh
43,0.743,0.257,123.074,0.0355,0.034,0.0,4,0.644,5,203000,-5.002,0.544,0,audio_features,spotify:track:3PEgB3fkiojxms35ntsTgs
44,0.533,0.0894,183.945,0.383,0.743,0.0,4,0.742,10,267910,-7.761,0.754,1,audio_features,spotify:track:4MSnsmZbrh25VE8IJcZufb
45,0.629,0.138,122.863,0.0563,0.259,1.6e-05,4,0.707,0,212459,-4.581,0.457,0,audio_features,spotify:track:1x5sYLZiu9r5E43kMlt9f8
46,0.868,0.104,121.03,0.0291,0.15,0.132,4,0.703,7,193613,-4.661,0.733,0,audio_features,spotify:track:1NDxZ7cFAo481dtYWdrUnR
47,0.624,0.0513,117.959,0.0488,0.158,0.0,4,0.855,1,180757,-4.093,0.962,1,audio_features,spotify:track:4c2W3VKsOFoIg2SFaO6DY5
48,0.885,0.0859,129.93,0.0305,0.445,0.0,4,0.647,11,192106,-2.393,0.594,0,audio_features,spotify:track:6elsRmdqv0DGmmppxnqm4q
49,0.379,0.0986,107.989,0.0476,0.607,0.000464,4,0.614,4,258987,-10.48,0.201,1,audio_features,spotify:track:6fxVffaTuwjgEk5h9QyRjy
50,0.621,0.0958,150.011,0.102,0.000282,5.39e-05,4,0.908,1,177000,-6.638,0.421,0,audio_features,spotify:track:7KXjTSCq5nL1LoYtL7XAwS
51,0.458,0.249,96.011,0.144,0.105,0.0,4,0.754,8,203650,-6.852,0.495,1,audio_features,spotify:track:74ODGXs4byLTRdnKGM4s6E
52,0.787,0.14,124.982,0.108,0.0524,0.0,4,0.779,10,204347,-4.305,0.708,0,audio_features,spotify:track:0CcQNd8CINkwQfe1RDtGV6
53,0.346,0.0871,75.016,0.351,0.0151,7.04e-06,4,0.884,8,220307,-8.228,0.376,0,audio_features,spotify:track:5eqK0tbzUPo2SoeZsov04s
54,0.574,0.19,100.021,0.0479,0.57,0.0,4,0.62,5,250173,-7.788,0.352,0,audio_features,spotify:track:5tz69p7tJuGPeMGwNTxYuV
55,0.846,0.13,106.992,0.0354,0.0063,1.68e-06,4,0.539,8,274097,-3.192,0.46,1,audio_features,spotify:track:02q0ZnV2L4XByzEvWZJqBC
56,0.885,0.357,92.959,0.106,0.0244,0.0,4,0.583,0,217052,-3.571,0.601,0,audio_features,spotify:track:5RGf8qn1TBWVplLyyKUsuV
