,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,track_id,Position,Track Name,Artist,Streams,date,track_id
16801,0.64,0.138,129.815,0.049,0.0992,0.0,4,0.628,6,201081,-4.164,0.409,0,1TaQciB8qqRZ9fxWGhS65X,2,Don't Know What To Do,BLACKPINK,278551,2019-04-07,1TaQciB8qqRZ9fxWGhS65X
8401,0.96,0.0882,109.863,0.095,0.0426,0.0,4,0.6,4,237077,-1.807,0.503,1,2naEVOadudtXHwtZNfjMDM,2,Forever Young,BLACKPINK,153735,2018-06-17,2naEVOadudtXHwtZNfjMDM
4001,0.523,0.132,104.988,0.03,0.184,3.5600000000000005e-05,4,0.765,2,217307,-4.333,0.39399999999999996,1,1rfofaqEpACxVEHIZBJe6W,2,Havana (feat. Young Thug),Camila Cabello,75073,2018-01-14,1rfofaqEpACxVEHIZBJe6W
4401,0.375,0.161,119.958,0.0435,0.7120000000000001,0.0157,4,0.741,1,226000,-12.842,0.332,1,3h7TbK7x7yxJavEZydbOzX,2,04:00,The Toys,87751,2018-01-28,3h7TbK7x7yxJavEZydbOzX
14601,0.321,0.0884,70.142,0.32299999999999995,0.578,0.0,4,0.725,1,178640,-10.744000000000002,0.319,0,14msK75pk3pA33pzPVNtBF,2,7 rings,Ariana Grande,211230,2019-01-20,14msK75pk3pA33pzPVNtBF
12001,0.738,0.111,85.009,0.0327,0.252,0.0465,4,0.685,2,184000,-8.211,0.784,1,3f3L2MP4oniV1bmSxGbcW4,2,ลาลาลอย (100%),The Toys,232852,2018-10-21,3f3L2MP4oniV1bmSxGbcW4
1201,0.581,0.0805,110.008,0.0767,0.18899999999999997,3.61e-06,4,0.8490000000000001,1,198237,-5.242999999999999,0.779,0,32DGGj6KlNuBr6WaqRxpxi,2,How Long,Charlie Puth,54186,2017-10-08,32DGGj6KlNuBr6WaqRxpxi
17401,0.8390000000000001,0.11199999999999999,182.123,0.0702,0.0291,0.0,4,0.614,0,193040,-4.143,0.657,1,4Sib57MmYGJzSvkW84jTwh,2,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,310086,2019-04-28,4Sib57MmYGJzSvkW84jTwh
2,0.745,0.0943,101.01799999999999,0.0571,0.0642,0.0,4,0.893,11,223413,-3.105,0.872,0,5bcTCxgc7xVfSaMV3RuVke,3,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,43935,2017-08-27,5bcTCxgc7xVfSaMV3RuVke
20202,0.774,0.086,179.96599999999998,0.249,0.474,0.0,4,0.541,10,243500,-5.725,0.69,1,1A9I1bdZX61vE5cTaNOz2x,3,นี่ฉันเอง feat. KOB FLAT BOY,Lipta,262691,2019-08-04,1A9I1bdZX61vE5cTaNOz2x
